Feature,Variance
rcvTime,28977.0
pos_0,4540.864740657243
pos_1,3883.9724860369224
pos_magnitude,3010.086394434395
hed_noise_1,350.7358864051317
hed_noise_0,338.0531890801404
spd_0,65.7462914402714
spd_1,64.8451348905738
speed_magnitude,56.549293759281454
pos_noise_0,28.086090148677606
pos_noise_1,28.080488098197318
acl_1,1.417909241995212
acceleration_magnitude,1.366596304593936
acl_0,0.8888986029193895
hed_1,0.5574122183963466
hed_0,0.4131349295915835
type,0.11810755110000001
heading_magnitude,0.013674781680387419
spd_noise_1,0.00016087319647663598
spd_noise_0,0.00013439481512526145
acl_noise_1,6.5523953157567776e-06
acl_noise_0,5.9826275001841224e-06
